NRO	ANIO	TIPO	ORIGEN	CARATULA	MESA	DAE	AUTOR	COM1	COM2	COM3	COM4	COM5
843	2024	PL	S	GADANO Y CARAMBIA: PROYECTO DE LEY QUE DISPONE QUE LAS EMPRESAS PRESTADORAS DE SERVICIOS DE TURISMO QUE BRINDEN EXCURSIONES Y ACTIVIDADES QUE REPRESENTE UN RIESGO PARA LAS PERSONAS DENTRO DE AREAS Y PARQUES NACIONALES DEBERÁN ENTREGAR UN DISPOSITIVO DE SEGUIMIENTO SATELITAL.	16/05/2024	42/2024	GADANO, NATALIA ELENA - CARAMBIA, JOSÉ MARÍA	DE INDUSTRIA Y COMERCIO	DE TURISMO	DE PRESUPUESTO Y HACIENDA		
842	2024	PL	S	"GADANO Y CARAMBIA: PROYECTO DE LEY QUE DESIGNA CON EL NOMBRE DE ""FACÓN GRANDE"" AL TRAMO DE LA RUTA NACIONAL N° 3, COMPRENDIDO ENTRE EL KILÓMETRO 1887 EN LA LOC. DE FITZ ROY Y EL KILÓMETRO 2161 EN LA LOC. DE SAN JULIÁN, DE LA PROV. DE SANTA CRUZ."	16/05/2024	42/2024	GADANO, NATALIA ELENA - CARAMBIA, JOSÉ MARÍA	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE	DE PRESUPUESTO Y HACIENDA			
840	2024	PL	S	HUALA Y KRONEBERGER: REPRODUCE PROYECTO DE LEY QUE CREA UNA LINEA TELEFONICA NACIONAL DE ASISTENCIA Y PREVENCION DEL SUICIDIO.  (REF. S. 3073/22)	16/05/2024	42/2024	HUALA, MARÍA VICTORIA - KRONEBERGER, DANIEL RICARDO	DE SALUD	DE SISTEMAS, MEDIOS DE COMUNICACIÓN Y LIBERTAD DE EXPRESIÓN			
839	2024	PL	S	HUALA: REPRODUCE PROYECTO DE LEY DE CAPACITACIÓN OBLIGATORIA EN TRASTORNO DEL ESPECTRO AUTISTA PARA TODAS LAS PERSONAS QUE INTEGRAN LOS TRES PODERES DEL ESTADO.  (REF. S. 861/22)	16/05/2024	42/2024	HUALA, MARÍA VICTORIA	DE SALUD	DE POBLACIÓN Y DESARROLLO  HUMANO	DE PRESUPUESTO Y HACIENDA		
838	2024	PC	S	REJAL: PROYECTO DE COMUNICACIÓN QUE SOLICTA INFORME SOBRE LOS INCUMPLIMIENTOS DE LA DIRECCIÓN DE ASISTENCIA DIRECTA PARA SITUACIONES ESPECIALES, ENCARGADA DE PROPORCIONAR MEDICAMENTOS Y OTROS INSUMOS MÉDICOS A PERSONAS SIN COBERTURA Y OTRAS CUESTIONES CONEXAS	16/05/2024	42/2024	REJAL, JESÚS FERNANDO	DE SALUD				
833	2024	PD	S	AVILA: PROYECTO DE DECLARACION QUE DECLARA DE INTERES LA REALIZACION DEL XXIV CONGRESO ARGENTINO DE OTORRINOLARINGOLOGIA Y FONOAUDIOLOGIA PEDIATRICA, EN LA SEDE DE LA UNIVERSIDAD CATOLICA ARGENTINA, CABA, DEL 24 AL 26 DE MAYO DE 2024.	16/05/2024	41/2024	AVILA, BEATRIZ LUISA	DE SALUD				
832	2024	PL	S	AVILA: PROYECTO DE LEY SOBRE REGIMEN NACIONAL DE REGULACION DE JUEGOS Y APUESTAS ONLINE.	16/05/2024	41/2024	AVILA, BEATRIZ LUISA	DE SALUD	DE LEGISLACIÓN GENERAL	DE JUSTICIA Y ASUNTOS PENALES		
831	2024	PL	S	AVILA: PROYECTO DE LEY QUE ESTABLECE UN PROGRAMA DE PREVENCION DEL JUEGO POR PARTE DE MENORES DE EDAD A TRAVES DE LAS APUESTAS EN LINEA EN EL AMBITO EDUCATIVO.	16/05/2024	41/2024	AVILA, BEATRIZ LUISA	DE SALUD	DE LEGISLACIÓN GENERAL	DE JUSTICIA Y ASUNTOS PENALES		
830	2024	PL	S	"CORPACCI: PROYECTO DE LEY QUE DECLARA PATRIMONIO INMATERIAL CULTURAL Y NATURAL DE LA NACION, EN LOS TERMINOS DE LA LEY 26.118, AL ""CHAKU"", PRACTICA ANCESTRAL INCAICA DE CAPTURA, ESQUILA Y LIBERACIÓN DE VICUÑAS."	16/05/2024	41/2024	CORPACCI, LUCÍA BENIGNA	DE EDUCACIÓN Y CULTURA	DE EDUCACIÓN Y CULTURA			
827	2024	PD	S	GALARETTO Y LOSADA: PROYECTO DE DECLARACION QUE DECLARA DE INTERÉS EL XLI CONGRESO DE CARDIOLOGÍA, A REALIZARSE EN LA CDAD. DE ROSARIO PROV. DE SANTA FE, DEL 30 DE MAYO AL 1 DE JUNIO DE 2024	15/05/2024	41/2024	GALARETTO, EDUARDO HORACIO - LOSADA, CAROLINA	DE SALUD				
825	2024	PC	S	PILATTI VERGARA: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME SOBRE LA INTENSIÓN DEL GOBIERNO DE DESREGULAR EL NOMENCLADOR DE PRESTACIONES BASICAS PARA LAS PERSONAS CON DISCAPACIDAD, Y OTRAS CUESTIONES CONEXAS.	15/05/2024	41/2024		DE POBLACIÓN Y DESARROLLO  HUMANO				
824	2024	PD	S	LEAVY: PROYECTO DE DECLARACIÓN QUE EXPRESA PREOCUPACION ANTE LA DECISION DEL PEN, DE CERRAR EL INSTITUTO NACIONAL DE AGRICULTURA FAMILIAR, CAMPESINA E INDIGENA, Y EL CONSEJO NACIONAL DE AGRICULTURA FAMILIAR.	15/05/2024	41/2024		DE AGRICULTURA, GANADERÍA Y PESCA				
823	2024	PR	S	"LEWANDOWSKI: PROYECTO DE RESOLUCION QUE DECLARA DE INTERÉS EL LIBRO ""RÉGIMEN Y PROCEDIMIENTOS ADMINISTRATIVOS ESPECIALES"", PUBLICADO POR LA EDITORIAL NOVA TESIS, DE GUSTAVO J. THOMAS Y OTROS AUTORES."	14/05/2024	41/2024	LEWANDOWSKI, MARCELO NÉSTOR	DE EDUCACIÓN Y CULTURA				
821	2024	PR	S	LOUSTEAU: PROYECTO DE RESOLUCION QUE DISPONE UN TOPE EN LA DIETA MENSUAL QUE PERCIBEN LOS SENADORES NACIONALES.	14/05/2024	41/2024		DE ASUNTOS CONSTITUCIONALES	DE TRABAJO Y PREVISIÓN SOCIAL			
820	2024	PL	S	LOUSTEAU: PROYECTO DE LEY QUE MODIFICA SU SIMILAR 24.600 - ESTATUTO DEL PERSONAL LEGISLATIVO -, RESPECTO DE MODIFICAR LAS CONDICIONES DE INGRESO A LA PLANTA PERMANENTE DEL PODER LEGISLATIVO.	14/05/2024	41/2024		DE TRABAJO Y PREVISIÓN SOCIAL				
817	2024	PL	S	LOSADA Y OTROS: PROYECTO DE LEY QUE DISPONE UN NUEVO PLAZO DE EJECUCIÓN DEL PROGRAMA NACIONAL DE ENTREGA VOLUNTARIA DE ARMAS DE FUEGO, CREADO POR LEY 26.216.	13/05/2024	41/2024	LOSADA, CAROLINA	DE SEGURIDAD INTERIOR Y NARCOTRÁFICO				
816	2024	PL	S	LOSADA Y VALENZUELA: PROYECTO DE LEY QUE DECLARA EL ESTADO DE EMERGENCIA EN INFRAESTRUCTURA Y SEGURIDAD VIAL, EN TODAS LAS RUTAS NACIONALES QUE RECORREN EL TERRITORIO DE LA PROV. DE SANTA FE, POR EL PLAZO DE 5 AÑOS.	13/05/2024	41/2024	LOSADA, CAROLINA - VALENZUELA, MERCEDES GABRIELA	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE	DE PRESUPUESTO Y HACIENDA			
815	2024	PD	S	FAMA: PROYECTO DE DECLARACION QUE EXPRESA PREOCUPACIÓN POR LA EXIGUA ILUMINACIÓN DE LA RUTA NACIONAL N° 38, A LA ALTURA DE LA CIRCUNVALACIÓN EN SAN FERNANDO DEL VALLE DE CATAMARCA Y OTRAS CUESTIONES CONEXAS.	13/05/2024	40/2024	FAMA, FLAVIO SERGIO	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE				
813	2024	PD	S	"GIMENEZ: PROYECTO DE DECLARACIÓN QUE EXPRESA BENEPLÁCITO AL 3° ENCUENTRO NACIONAL ""10 AÑOS DE LA RED UNIVERSITARIA DE ECONOMÍA SOCIAL SOLIDARIA"", A REALIZARSE EN C.A.B.A. EL 10 DE MAYO DE 2024."	13/05/2024	40/2024		DE ECONOMÍAS REGIONALES, ECONOMÍA SOCIAL, MICRO, PEQUEÑA Y MEDIANA EMPRESA	DE ECONOMÍAS REGIONALES, ECONOMÍA SOCIAL, MICRO, PEQUEÑA Y MEDIANA EMPRESA			
811	2024	PD	S	PILATTI VERGARA Y OTROS: PROYECTO DE DECLARACION QUE REPUDIA EL ATAQUE CONTRA MUJERES LESBIANAS, Y EL ASESINATO DE UNA DE ELLAS, OCURRIDO EN UN HOTEL FAMILIAR DE BARRACAS, C.A.B.A, EL 6 DE MAYO DE 2024.	10/05/2024	40/2024	MOISES, MARÍA CAROLINA	BANCA DE LA MUJER	BANCA DE LA MUJER			
809	2024	PD	S	"VISCHI Y VALENZUELA: PROYECTO DE DECLARACION QUE DECLARA DE INTERES LA ""5° FIESTA PROVINCIAL DEL ESTOFADO"" A REALIZARSE EN EL MEDANO HISTORICO DE PASO DE LA PATRIA, PROV. DE CORRIENTES, EL 1 Y 2 DE JUNIO DE 2024."	10/05/2024	40/2024	VISCHI, EDUARDO ALEJANDRO - VALENZUELA, MERCEDES GABRIELA	DE EDUCACIÓN Y CULTURA				
807	2024	PL	S	LOSADA Y OTROS: PROYECTO DE LEY QUE PROMUEVE LA PREVENCION DE LA LUDOPATIA.	10/05/2024	40/2024	LOSADA, CAROLINA	DE SALUD	DE LEGISLACIÓN GENERAL	DE JUSTICIA Y ASUNTOS PENALES		
805	2024	PD	S	TERENZI: PROYECTO DE DECLARACION QUE EXPRESA BENEPLACITO POR EL NONAGESIMO ANIVERSARIO DE LA CREACION DE LA BIBLIOTECA POPULAR AGUSTIN ALVAREZ DE LA CDAD. DE TRELEW, PROV. DEL CHUBUT.	10/05/2024	40/2024	TERENZI, EDITH ELIZABETH	DE EDUCACIÓN Y CULTURA				
804	2024	PD	S	"KRONEBERGER Y OTROS: PROYECTO DE DECLARACION QUE DECLARA DE INTERES EL PROYECTO ""INCLUITE-INCLUI"", DESARROLLADO POR ALUMNOS DE 6TO AÑO DEL COLEGIO SANTA INES DE LA CDAD. DE GENERAL PICO, PROV. DE LA PAMPA."	10/05/2024	40/2024	KRONEBERGER, DANIEL RICARDO	DE EDUCACIÓN Y CULTURA				
803	2024	PL	S	KRONEBERGER Y OTROS: PROYECTO DE LEY QUE REGULA LA PUBLICIDAD DE LOS JUEGOS DE AZAR ONLINE EN TODOS LOS MEDIOS DE COMUNICACION.	10/05/2024	40/2024	KRONEBERGER, DANIEL RICARDO	DE SALUD	DE LEGISLACIÓN GENERAL	DE JUSTICIA Y ASUNTOS PENALES		
802	2024	PL	S	KRONEBERGER Y OTROS: PROYECTO DE LEY QUE ESTABLECE LA OBLIGATORIEDAD DE IMPLEMENTAR EN ESPACIOS Y EDIFICIOS PÚBLICOS DEL PAIS SEÑALETICA INCLUSIVA.	10/05/2024	40/2024	KRONEBERGER, DANIEL RICARDO	DE POBLACIÓN Y DESARROLLO  HUMANO				
800	2024	PD	S	"TAGLIAFERRI: PROYECTO DE DECLARACION QUE DECLARA DE INTERES EL ""IV CONGRESO ITALIA ARGENTINA DE MEDICINA DEL TRABAJO Y I ENCUENTRO AMERICA LATINA - ITALIA DE MEDICINA DEL TRABAJO"", EN LA CDAD. DE ROMA, ITALIA, DEL 13 AL 15 DE JUNIO DE 2024."	09/05/2024	40/2024		DE SALUD				
798	2024	PD	S	DURE: PROYECTO DE DECLARACION QUE EXPRESA BENEPLACITO POR EL DIA MUNDIAL DE LA HEMOFILIA, A CELEBRARSE EL 17 DE ABRIL DE CADA AÑO.	08/05/2024	40/2024		DE SALUD				
797	2024	PD	S	DURE: PROYECTO DE DECLARACIÓN QUE ADHIERE AL DIA INTERNACIONAL DE LA LUCHA CONTRA EL MALTRATO INFANTIL, EL 25 DE ABRIL DE CADA AÑO.	08/05/2024	40/2024		DE POBLACIÓN Y DESARROLLO  HUMANO				
796	2024	PD	S	DURE: PROYECTO DE DECLARACIÓN QUE EXPRESA BENEPLÁCITO POR EL DIA MUNDIAL DE LA LUCHA CONTRA EL CÁNCER DE OVARIO, EL 8 DE MAYO DE CADA AÑO.	08/05/2024	40/2024		DE SALUD				
793	2024	PR	S	BENSUNSAN: PROYECTO DE RESOLUCION QUE MODIFICA EL REGLAMENTO DE ESTA H. CÁMARA DE SENADORES, SOBRE PLIEGOS DE ACUERDOS.	08/05/2024	39/2024	BENSUSÁN, DANIEL PABLO	DE ASUNTOS CONSTITUCIONALES				
791	2024	PD	S	DURE: PROYECTO DE DECLARACION QUE EXPRESA BENEPLACITO POR EL 40° ANIVERSARIO DE LA CREACION DE LA COMUNIDAD HOMOSEXUAL ARGENTINA (CHA), EL 16 DE ABRIL DE 2024.	08/05/2024	39/2024		BANCA DE LA MUJER	BANCA DE LA MUJER			
790	2024	PD	S	"DURE: PROYECTO DE DECLARACION QUE DECLARA DE INTERES EL FESTIVAL FEDERAL ""ELIJO CRECER"" EN DEFENSA DE LA CIENCIA Y LA TECNOLOGIA, QUE SE LLEVO A CABO EL 6 Y 7 DE ABRIL DE 2024."	08/05/2024	39/2024		DE CIENCIA Y TECNOLOGÍA				
789	2024	PD	S	DURE: PROYECTO DE DECLARACION QUE EXPRESA BENEPLACITO POR EL DIA MUNDIAL DE LA SALUD MENTAL INFANTIL Y ADOLESCENTE, A CELEBRARSE EL 23 DE ABRIL DE CADA AÑO.	08/05/2024	39/2024		DE SALUD				
782	2024	PD	S	TERENZI: PROYECTO DE DECLARACION QUE DECLARA DE INTERES LA 40° FERIA PROVINCIAL DEL LIBRO Y 20° FERIA PATAGONICA, QUE SE REALIZARAN DE MANERA SIMULTANEA EN LA CDAD. DE GAIMAN, PROV. DEL CHUBUT, DEL 6 AL 9 DE JUNIO DE 2024.	07/05/2024	39/2024	TERENZI, EDITH ELIZABETH	DE EDUCACIÓN Y CULTURA				
780	2024	PC	S	DE PEDRO Y OTROS: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME SOBRE EL PLAN NACIONAL DE PREVENCION DEL EMBARAZO NO INTENCIONAL EN LA ADOLESCENCIA (ENIA).	07/05/2024	39/2024	DE PEDRO, EDUARDO ENRIQUE	DE SALUD				
777	2024	PC	S	GARCIA LARRABURU Y OTROS: PROYECTO DE COMUNICACIÓN QUE RECHAZA LOS ANUNCIOS DE CIERRE DE LA UNIDAD DE EXTENSION INTI BARILOCHE, EN LA CDAD. HOMONIMA, PROV. DE RIO NEGRO Y SOLICITA INFORME SOBRE EL MENCIONADO ORGANISMO.	06/05/2024	39/2024	LÓPEZ, CÁNDIDA CRISTINA	DE CIENCIA Y TECNOLOGÍA				
776	2024	PC	S	UÑAC: PROYECTO DE COMUNICACIÓN QUE SOLICITA LA REGLAMENTACION DE LOS ARTICULOS 41° Y 42° DE LA LEY 20.665- DEPORTE-.	06/05/2024	39/2024	UÑAC, SERGIO MAURICIO	DE ASUNTOS CONSTITUCIONALES				
775	2024	PL	S	TERENZI Y OTROS: PROYECTO DE LEY QUE CREA EL SISTEMA ARGENTINO DE TRAZABILIDAD DE LA PESCA Y LA ACUICULTURA.	06/05/2024	39/2024	TERENZI, EDITH ELIZABETH	DE AGRICULTURA, GANADERÍA Y PESCA	DE AMBIENTE Y DESARROLLO SUSTENTABLE	DE JUSTICIA Y ASUNTOS PENALES		
774	2024	PD	S	LOPEZ C.: PROYECTO DE DECLARACIÓN QUE REPUDIA LAS DECLARACIONES REALIZADAS POR EL PRESIDENTE DE LA NACIÓN, JAVIER MILEI, EN UNA ENTREVISTA OTORGADA A LA BBC, RESPECTO A LA VISITA DEL SEC. DE ESTADO PARA ASUNTOS EXTERIORES, MANCOMUNIDAD Y DESARROLLO DEL REINO UNIDO, A LAS ISLAS MALVINAS.	06/05/2024	39/2024	LÓPEZ, CÁNDIDA CRISTINA	DE ASUNTOS CONSTITUCIONALES				
773	2024	PD	S	DURE Y OTROS: PROYECTO DE DECLARACIÓN QUE REPUDIA LAS DECLARACIONES REALIZADAS POR EL PRESIDENTE DE LA NACIÓN, JAVIER MILEI, PARA LA BBC, MANIFESTANDO SU ADMIRACIÓN POR MARGARET THATCHER.	06/05/2024	38/2024	LÓPEZ, CÁNDIDA CRISTINA	DE ASUNTOS CONSTITUCIONALES				
772	2024	PC	S	GIMENEZ NAVARRO Y OTROS: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME SOBRE DIVERSOS PUNTOS RELACIONADOS AL CONVENIO ENTRE EL MINISTERIO DE CAPITAL HUMANO Y EL INSTITUTO NACIONAL DE TECNOLOGÍA AGROPECUARIA (INTA), PARA FINANCIAR EL PROGRAMA PROHUERTA.	03/05/2024	38/2024	GIMÉNEZ NAVARRO, MARÍA CELESTE	DE AGRICULTURA, GANADERÍA Y PESCA				
771	2024	PL	S	"GIMENEZ: PROYECTO DE LEY QUE INSTITUYE EL DIA 21 DE JULIO DE CADA AÑO, COMO EL ""DIA NACIONAL DE CONCIENTIZACION Y PREVENCION DEL DENGUE""."	02/05/2024	38/2024		DE SALUD	DE EDUCACIÓN Y CULTURA			
769	2024	PD	S	ZIMMERMANN: PROYECTO DE DECLARACION QUE ADHIERE AL DIA DEL DOCENTE UNIVERSITARIO, A CONMEMORARSE EL 15 DE MAYO DE 2024.	02/05/2024	38/2024		DE EDUCACIÓN Y CULTURA				
768	2024	PD	S	ZIMMERMANN: PROYECTO DE DECLARACION QUE ADHIERE A LA CONMEMORACION DEL DIA INTERNACIONAL DE LAS FAMILIAS, A CELEBRARSE EL 15 DE MAYO DE CADA AÑO.	02/05/2024	38/2024		DE POBLACIÓN Y DESARROLLO  HUMANO				
760	2024	PD	S	"VISCHI: PROYECTO DE DECLARACIÓN QUE DECLARA DE INTERÉS LA MINISERIE DOCUMENTAL CORRENTINA LLAMADA ""CHAMAMECERO: NUESTRA MANERA DE SER""."	02/05/2024	38/2024	VISCHI, EDUARDO ALEJANDRO	DE EDUCACIÓN Y CULTURA				
758	2024	PD	S	LEAVY: PROYECTO DE DECLARACIÓN QUE EXPRESA BENEPLÁCITO POR EL 52 ANIVERSARIO DE LA CREACIÓN DE LA UNIVERSIDAD NACIONAL DE SALTA, EL 11 DE MAYO DE 2024.	02/05/2024	38/2024		DE EDUCACIÓN Y CULTURA				
757	2024	PD	S	LEAVY: PROYECTO DE DECLARACIÓN QUE RINDE HOMENAJE AL PADRE CARLOS MUGICA, COMO INTEGRANTE DE LOS SACERDOTES PARA EL TERCER MUNDO, QUIEN FUERA ULTIMADO EL 11 DE MAYO DE 1974.	02/05/2024	38/2024		DE EDUCACIÓN Y CULTURA				
756	2024	PL	S	FERNANDEZ SAGASTI: PROYECTO DE LEY SOBRE EL PROCEDIMIENTO DE RESTITUCIÓN INTERPROVINCIAL DE NIÑAS, NIÑOS Y ADOLESCENTES.	02/05/2024	38/2024	FERNÁNDEZ SAGASTI, ANABEL	DE LEGISLACIÓN GENERAL	DE JUSTICIA Y ASUNTOS PENALES	DE POBLACIÓN Y DESARROLLO  HUMANO		
755	2024	PL	S	FERNANDEZ SAGASTI: PROYECTO DE LEY QUE INCORPORA EL INCISO H) DEL ART. 92 DE SU SIMILAR 26.206- EDUCACIÓN NACIONAL-, INCORPORANDO A LA     EDUCACIÓN VIAL OBLIGATORIA EN LOS DISTINTOS NIVELES EDUCATIVOS DE GESTIÓN PÚBLICA Y PRIVADA.	02/05/2024	38/2024	FERNÁNDEZ SAGASTI, ANABEL	DE EDUCACIÓN Y CULTURA	DE EDUCACIÓN Y CULTURA			
754	2024	PL	S	FERNANDEZ SAGASTI: PROYECTO DE LEY QUE GARANTIZA A LAS PERSONAS CON DISCAPACIDAD EL DERECHO DE ACCESO A LA INFORMACIÓN ADECUADA DE LOS MEDICAMENTOS, PARA SU APROPIADA IDENTIFICACIÓN.	02/05/2024	38/2024	FERNÁNDEZ SAGASTI, ANABEL	DE SALUD	DE INDUSTRIA Y COMERCIO	DE JUSTICIA Y ASUNTOS PENALES		
753	2024	PL	S	FERNANDEZ SAGASTI: PROYECTO DE LEY QUE MODIFICA SU SIMILAR 24.449 - LEY DE TRANSITO-, INCORPORANDO EL ART. 68 BIS - LIMITES A LA EXCLUSION DE COBERTURA-.	02/05/2024	36/2024	FERNÁNDEZ SAGASTI, ANABEL	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE				
752	2024	PL	S	FERNANDEZ SAGASTI: PROYECTO DE LEY QUE MODIFICA EL CÓDIGO PENAL, EN LO RELATIVO A DELITOS DE HOMICIDIO CULPOSO Y LESIONES CULPOSAS COMETIDOS POR LA CONDUCCION DE UN VEHICULO CON MOTOR.	02/05/2024	36/2024	FERNÁNDEZ SAGASTI, ANABEL	DE JUSTICIA Y ASUNTOS PENALES				
751	2024	PL	S	"FERNANDEZ SAGASTI: PROYECTO DE LEY QUE INSTITUYE EL 5 DE SEPTIEMBRE DE CADA AÑO, COMO EL ""DIA NACIONAL DE LA MUJER INDÍGENA""."	02/05/2024	36/2024	FERNÁNDEZ SAGASTI, ANABEL	BANCA DE LA MUJER				
749	2024	PL	S	BENSUSAN: PROYECTO DE LEY QUE AMPLÍA LA PRESTACIÓN ALIMENTAR CREADA EN EL MARCO DEL PLAN NACIONAL ARGENTINA CONTRA EL HAMBRE HASTA LOS DIECISIETE AÑOS DE EDAD INCLUSIVE.	02/05/2024	36/2024	BENSUSÁN, DANIEL PABLO	DE POBLACIÓN Y DESARROLLO  HUMANO				
746	2024	PL	S	FERNANDEZ SAGASTI: REPRODUCE PROYECTO DE LEY QUE CREA EL PROGRAMA NACIONAL DE EMPLEO MINIMO GARANTIZADO. (REF. S. 371/22)	30/04/2024	36/2024	FERNÁNDEZ SAGASTI, ANABEL	DE TRABAJO Y PREVISIÓN SOCIAL	DE PRESUPUESTO Y HACIENDA			
745	2024	PL	S	FERNANDEZ SAGASTI: REPRODUCE PROYECTO DE LEY QUE MODIFICA EL CODIGO CIVIL Y COMERCIAL DE LA NACION, RESPECTO DE INCORPORAR LA GESTACION POR SUSTITUCION COMO UNA DE LAS TECNICAS DE REPRODUCCION HUMANA ASISTIDA. (REF. S. 1038/22)	30/04/2024	36/2024	FERNÁNDEZ SAGASTI, ANABEL	DE LEGISLACIÓN GENERAL	DE SALUD			
744	2024	PL	S	"FERNANDEZ SAGASTI: REPRODUCE PROYECTO DE LEY QUE CREA EL PROGRAMA ""CENTROS DE DIA PARA ADULTOS MAYORES EN SITUACION DE DEPENDENCIA"". (REF. S. 193/22)"	30/04/2024	36/2024	FERNÁNDEZ SAGASTI, ANABEL	DE LEGISLACIÓN GENERAL	DE PRESUPUESTO Y HACIENDA			
743	2024	PL	S	FERNANDEZ SAGASTI: REPRODUCE PROYECTO DE LEY QUE CREA EL PROGRAMA NACIONAL INTEGRADO DE CUIDADOS Y APOYOS A PERSONAS EN SITUACION DE DEPENDENCIA. (REF. S. 194/22)	30/04/2024	36/2024	FERNÁNDEZ SAGASTI, ANABEL	DE LEGISLACIÓN GENERAL	DE PRESUPUESTO Y HACIENDA			
742	2024	PL	S	FERNANDEZ SAGASTI: REPRODUCE PROYECTO DE LEY DE PROTECCION Y PROMOCION DE LOS DERECHOS DE PERSONAS ADULTAS MAYORES. (REF. S. 192/22)	30/04/2024	36/2024	FERNÁNDEZ SAGASTI, ANABEL	DE LEGISLACIÓN GENERAL	DE PRESUPUESTO Y HACIENDA			
740	2024	PL	S	FERNANDEZ SAGASTI: REPRODUCE PROYECTO DE LEY QUE INSTITUYE EL 29 DE JUNIO DE CADA AÑO COMO EL DIA NACIONAL DE LA LUCHA CONTRA LA LEUCEMIA. (REF. S. 1922/22)	30/04/2024	36/2024	FERNÁNDEZ SAGASTI, ANABEL	DE SALUD	DE EDUCACIÓN Y CULTURA			
739	2024	PL	S	"FERNANDEZ SAGASTI: REPRODUCE PROYECTO DE LEY QUE CREA EL ""PROGRAMA DE JORNADA EDUCATIVA NOCTURNA"", (REF. S. 1919/22)"	30/04/2024	36/2024	FERNÁNDEZ SAGASTI, ANABEL	DE EDUCACIÓN Y CULTURA	DE PRESUPUESTO Y HACIENDA			
738	2024	PL	S	FERNANDEZ SAGASTI: REPRODUCE PROYECTO DE LEY SOBRE RESTITUCIÓN DE LEGAJOS PERSONALES A SOBREVIVIENTES, FAMILIARES, HEREDEROS Y/O DERECHOHABIENTES, REPARADOS DE DOCENTES, NO DOCENTES, GRADUADOS Y ALUMNOS VICTIMAS DE LAS DICTADURAS. (REF. S. 1918/22)	30/04/2024	36/2024	FERNÁNDEZ SAGASTI, ANABEL	DE EDUCACIÓN Y CULTURA	DE PRESUPUESTO Y HACIENDA			
736	2024	PL	S	FERNANDEZ SAGASTI: REPRODUCE PROYECTO DE LEY QUE INSTITUYE EL 21 DE MARZO DE CADA AÑO COMO EL DIA NACIONAL DEL SINDROME DE DOWN. (REF. S. 1924/22)	30/04/2024	36/2024	FERNÁNDEZ SAGASTI, ANABEL	DE SALUD	DE EDUCACIÓN Y CULTURA			
733	2024	PL	S	FERNANDEZ SAGASTI: REPRODUCE PROYECTO DE LEY DE ACCESIBILIDAD DE BILLETES Y MONEDAS DE CURSO LEGAL. (REF. S. 2042/22)	30/04/2024	35/2024	FERNÁNDEZ SAGASTI, ANABEL	DE ECONOMÍA NACIONAL E INVERSIÓN	DE PRESUPUESTO Y HACIENDA			
731	2024	PL	S	FERNANDEZ SAGASTI: REPRODUCE PROYECTO DE LEY QUE MODIFICA SU SIMILAR 11.723 -PROPIEDAD INTELECTUAL-, SOBRE EL DERECHO DE PARTICIPACION DEL AUTOR DE OBRAS ORIGINALES EN CADA REVENTA POSTERIOR. (REF. S. 3188/22)	30/04/2024	35/2024	FERNÁNDEZ SAGASTI, ANABEL	DE LEGISLACIÓN GENERAL				
729	2024	PL	S	FAMA Y OTROS: PROYECTO DE LEY SOBRE ESTÍMULO AL DESARROLLO PRODUCTIVO DE LA PUNA ARGENTINA.	30/04/2024	35/2024	FAMA, FLAVIO SERGIO	DE ECONOMÍAS REGIONALES, ECONOMÍA SOCIAL, MICRO, PEQUEÑA Y MEDIANA EMPRESA	DE PRESUPUESTO Y HACIENDA			
728	2024	PD	S	CRISTINA: PROYECTO DE DECLARACION QUE EXPRESA BENEPLÁCITO POR EL 50° ANIVERSARIO DE LA CREACIÓN DE LA UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO, EL 4 DE MAYO DE 2024.	30/04/2024	35/2024	CRISTINA, ANDREA MARCELA	DE EDUCACIÓN Y CULTURA				
727	2024	PD	S	CRISTINA: PROYECTO DE DECLARACION QUE EXPRESA BENEPLÁCITO POR EL ANIVERSARIO DEL PLEBISCITO DEL 30 DE ABRIL DE 1902, RECONOCIENDO A LOS POBLADORES QUE HABITABAN EN EL VALLE 16 DE OCTUBRE, EN LA PROV. DEL CHUBUT.	30/04/2024	35/2024	CRISTINA, ANDREA MARCELA	DE EDUCACIÓN Y CULTURA				
726	2024	PD	S	GIMENEZ: PROYECTO DE DECLARACION QUE EXPRESA PREOCUPACIÓN POR LA CONTINUIDAD DE LOS ORGANISMOS CULTURALES DEL ESTADO ARGENTINO.	30/04/2024	35/2024		DE EDUCACIÓN Y CULTURA				
725	2024	PL	S	GIMENEZ: PROYECTO DE LEY DE EQUIDAD DE GÉNERO EN LA CORTE SUPREMA DE JUSTICIA DE LA NACIÓN.	30/04/2024	35/2024		DE ASUNTOS CONSTITUCIONALES	DE JUSTICIA Y ASUNTOS PENALES			
